"Company Name","Open Date","Close Date","Size (Rs Cr)","QIB (x)","NII (x)","Retail (x)","Total (x)","Applications"
"KP Green Engineering Limited","Mar 15, 2024","Mar 19, 2024","189.50","31.86","48.23","20.12","29.50","1,04,138 (23.80x)"
"AVP Infracon Limited","Mar 13, 2024","Mar 15, 2024","52.34","1.05","46.15","22.49","21.45","30,791 (22.49x)"
"Royal Sense Limited","Mar 12, 2024","Mar 14, 2024","9.86","","9.72","7.32","8.52","3,198 (9.93x)"
"Signoria Creation Limited","Mar 12, 2024","Mar 14, 2024","9.28","107.56","1290.56","649.88","666.32","1,72,218 (649.88x)"
"Pratham EPC Projects Limited","Mar 11, 2024","Mar 13, 2024","36.00","70.28","320.53","179.48","178.54","1,79,125 (179.48x)"
"Pune E-Stock Broking Limited","Mar 07, 2024","Mar 12, 2024","38.23","123.02","775.99","338.92","371.16","4,38,216 (511.34x)"
"Koura Fine Diamond Jewelry Limited","Mar 06, 2024","Mar 11, 2024","5.50","","373.66","1083.98","733.01","3,57,575 (1534.66x)"
"Shree Karni Fabcom Limited","Mar 06, 2024","Mar 11, 2024","42.49","112.94","461.58","330.45","296.43","3,43,005 (330.45x)"
"Sona Machinery Limited","Mar 05, 2024","Mar 07, 2024","51.82","129.72","554.42","235.06","273.50","2,83,245 (235.06x)"
"V R Infraspace Limited","Mar 04, 2024","Mar 06, 2024","20.40","","85.21","90.55","93.41","64,469 (90.55x)"
"M.V.K. Agro Food Product Ltd","Feb 29, 2024","Mar 04, 2024","65.88","","3.90","13.01","8.46","28,268 (13.01x)"
"Purv Flexipack Limited","Feb 27, 2024","Feb 29, 2024","40.21","157.32","690.72","448.73","421.78","5,33,091 (448.73x)"
"Owais Metal and Mineral Processing Limited","Feb 26, 2024","Feb 28, 2024","42.69","92.06","329.36","248.50","221.18","2,48,255 (248.50x)"
"Sadhav Shipping Limited","Feb 23, 2024","Feb 27, 2024","38.18","","184.58","65.52","135.69","1,04,173 (65.52x)"
"Deem Roll Tech Limited","Feb 20, 2024","Feb 22, 2024","29.26","","311.95","180.50","256.55","1,94,403 (180.50x)"
"Zenith Drugs Limited","Feb 19, 2024","Feb 22, 2024","40.68","106.72","368.77","139.28","179.18","1,30,926 (139.28x)"
"Esconet Technologies Limited","Feb 16, 2024","Feb 20, 2024","28.22","156.02","868.05","553.02","507.24","3,85,452 (553.02x)"
"Interiors and More Limited","Feb 15, 2024","Feb 20, 2024","42.00","3.54","30.32","7.41","11.22","7,604 (7.41x)"
